"","Id","Title","Status","SubCount"
"145","UCu0TCghi1_1yeTQbwb2XCaw","Rachel Maddow Live","Detected",6118
"146","UCZkwDaxCsVaYdaBwPdmXktw","Ruben","Detected",4491
"147","UCVwrrOBeUL8ihsEyokVfUlA","The Patriot","Detected",3250
"148","UC_OPcj6k4asa8NF9BuNx1Tg","Deep Medic","Detected",1302
"149","UCwhRRO1YDTadL0psbgCQ_EA","RareEssentials X","Detected",369
"150","UCy-N04M3rGQMznjIv5g2LGQ","The Patriotic Report","Detected",0
"151","UCGEGkFlcim39Owpp35-ZnHw","aDDmoreJuice TV","Detected",0
"152","UC2-T6B6ql-KRQaFfZrboQrQ","CasonVids","Detected",0
"153","UCYUS-7YqNQR31DEVoNDVNfg","TRUTHBOMBS","Detected",0
"154","UCyVR2BXeEUvOpjAb4EUEgKg","Conservative Network","Detected",0
"155","UCCB91NcXenQejo_Gyu3Ebnw","Today News Feed","Detected",0
"156","UCxB_r1u7WMBaSybUn84qewQ","True Liberty","Detected",0
"157","UCgAvalds_Q4FLwt2K_L57Ug","Space Force News","Detected",0
"158","UCvQMfwSdoFVZ6SlcID_OQEA","Great American Daily","Detected",0
"159","UCXJryYh6xcW5iEeJGzK191A","CBS Miami","Detected",0
"160","UCG-k6xAc1QK8a9mjX2S1mNQ","American Patriot","Detected",0
"161","UCLLZ98n9GkFd0EWXjn2Kg2A","JOE ROGAN UNIVERSE - FAN CHANNEL","Detected",0
"162","UCPTDmZEOrQKHT-6AM7aTTTA","Official W5","Detected",0
"163","UCmhT57vCaS4kPIalY_rrysg","Political News Networks","Seed",0
